Game ID, Expected payoff of player1 from approx, Expected payoff of player1 real, epsilon player1, Expected payoff of player2 from approx, Expected payoff of player2 real, epsilon player2, player_1_strategy, player_2_strategy
1, 0.552632, 0.736842, 0.184211, 0.5, 0.882353, 0.382353, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.5]"
2, 0.552632, 0.894737, 0.342106, 0.5, 0.823529, 0.323529, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.5]"
3, 0.552632, 1.0, 0.447369, 0.5, 0.647059, 0.147059, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.5]"
4, 0.552632, 0.736842, 0.184211, 0.5, 0.823529, 0.323529, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.5]"
5, 0.552632, 0.917293, 0.364662, 0.5, 0.582888, 0.082888, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.5]"
6, 0.75, 0.698413, -0.051587, 0.333334, 0.492308, 0.158974, "[0.0, 0.0, 0.5, 0.5]", "[0.5, 0.5]"
7, 0.472222, 0.777778, 0.305556, 0.680556, 0.722222, 0.041666, "[0.5, 0.0, 0.0, 0.5]", "[0.5, 0.0, 0.5, 0.0, 0.0]"
8, 0.472222, 1.0, 0.527778, 0.680556, 1.0, 0.319444, "[0.5, 0.0, 0.0, 0.5]", "[0.5, 0.0, 0.5, 0.0, 0.0]"
9, 0.472222, 0.642857, 0.170635, 0.680556, 0.738562, 0.058006, "[0.5, 0.0, 0.0, 0.5]", "[0.5, 0.0, 0.5, 0.0, 0.0]"
10, 0.513158, 0.631579, 0.118421, 0.736111, 1.0, 0.263889, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.5]"
11, 0.416667, 0.181818, -0.234849, 0.347222, 0.261905, -0.085318, "[0.0, 0.0, 0.5, 0.5]", "[0.5, 0.5]"
12, 0.527778, 0.888889, 0.361111, 0.789473, 0.789474, 1e-06, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[0.0, 1.0, 0.0]"
13, 0.527778, 1.0, 0.472222, 0.789473, 0.947368, 0.157895, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[0.0, 1.0, 0.0]"
14, 0.527778, 0.702448, 0.17467, 0.789473, 0.576968, -0.212506, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[0.0, 1.0, 0.0]"
15, 0.460526, 0.939849, 0.479323, 0.529412, 0.75817, 0.228758, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0]"
16, 0.460526, 0.469241, 0.008714, 0.529412, 0.736842, 0.207431, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0]"
17, 0.460526, 0.462765, 0.002239, 0.529412, 0.733334, 0.203923, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0]"
18, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, "[1.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
19, 0.881579, 0.947368, 0.065789, 0.578948, 0.894737, 0.31579, "[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
20, 0.881579, 0.822966, -0.058613, 0.578948, 0.789473, 0.210526, "[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
21, 0.881579, 0.65587, -0.225709, 0.578948, 0.562122, -0.016825, "[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
22, 0.723684, 0.842105, 0.118421, 0.473684, 0.947368, 0.473684, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5]"
23, 0.723684, 0.947368, 0.223684, 0.473684, 1.0, 0.526316, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5]"
